Luis|espinoza|12512|A33|97.04|0|50|190|1542
gabriela|tirado|12421242||0|0|0|190|1542
iunqweqw|nuqwrqwe|1243546|5D|97.04|102.54|50|210|6409
qfe|qfew|123435||97.04|0|0|320|1536
qqwr|qewr|214536||97.04|102.54|0|260|6742
qewr|qrew|13244|6D|97.04|102.54|50|190|6495
qew|qew|134||97.04|102.54|0|330|2828
qwere|qwe|1w24||97.04|102.54|0|330|2828
wge|fwe|1245364||97.04|102.54|0|235|1708
wbr|ebrt|213465765||97.04|102.54|0|235|1708
wgr|wegre|314|6C|97.04|0|50|185|1371
few|weg|235||97.04|0|50|185|1371
wg4|wegre|12412||97.04|0|0|190|7470
wegewg|gweewg|124124||97.04|0|0|190|7470
nuqf|qefe|124||97.04|102.54|0|230|4252
wger|egrr|124||97.04|102.54|0|230|4252
luis|espinoza|812312|9A|97.04|102.54|50|280|6820
gabriela|tirado|12312|9D|97.04|102.54|50|280|6820
luis|espinoza|821312312||97.04|102.54|0|190|1041
gada|afa|1231231|10C|97.04|102.54|50|190|1041
qqf|fqw|qfw||97.04|102.54|0|367|2833
fqw|fqw|fqw||97.04|102.54|0|367|2833
Melody|Correa|12345678||0|0|0|418|0
Gabriela|Tirado|72742571||0|0|0|469|0
Gabriela|Tirado|72742571||0|0|0|310|0
Luis|Tirado|72742569||0|0|0|310|0
Mariella|Carrera|72742571||97.04|102.54|0|222|1
Daniel|Alejandro|72742590|1A|97.04|0|50|222|2
Luis|Tirado|18212812||97.04|0|0|222|3
Andrea|Correa|12312312||0|102.54|0|214|1
Luis|Espinoza|12312312|30B|97.04|102.54|50|214|2
Luis|Espinoza|72732562|20A|97.04|102.54|50|429|0
Andrea|Correa|18231212|29B|97.04|102.54|50|429|0
Gabriela|Tirado|72742571||0|0|0|440|0
Gabriela|Tirado|72742571||0|0|0|222|0
Andrea|Correa|72742571||0|0|0|222|0
Gabriela|Tirado|72735271||0|0|0|335|0
Andrea|Correa|82371231||0|0|0|335|0
Luis|Espinoza|72732571||0|0|0|247|0
Daniel|Tirado|72732570||0|0|0|247|0
Gabriela|Tirado|72742571||0|0|0|240|0
Daniel|Tirado|72732570||0|0|0|240|0
